,title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,pub_year,century,is_big_book
1589,Brave New World and Brave New World Revisited,Aldous Huxley/Christopher Hitchens,4.16,eng,340,421,53,6/1/2004,HarperCollins,2004,21th,small
1590,Brave New World Revisited,Aldous Huxley,3.95,eng,123,12989,740,9/5/2006,Harper Perennial Modern Classics,2006,21th,small
1591,Brave New World,Aldous Huxley,3.99,eng,259,13353,1286,10/17/2006,HarperCollins,2006,21th,small
1592,Andrew Carnegie,David Nasaw,3.99,eng,896,2580,205,10/24/2006,Penguin Press HC  The,2006,21th,big
1593,The Cairo Trilogy: Palace Walk / Palace of Desire / Sugar Street (The Cairo Trilogy #1-3),Naguib Mahfouz,4.46,eng,1313,3347,245,10/16/2001,Everyman's Library,2001,21th,big
1594,Children of the Alley,Naguib Mahfouz/Peter Theroux,4.1,eng,464,1192,131,10/18/1996,Anchor,1996,20th,big
1595,Akhenaten: Dweller in Truth,Naguib Mahfouz/Tagreid Abu-Hassabo,3.81,eng,168,1282,139,4/4/2000,Anchor,2000,21th,small
1596,Adrift on the Nile,Naguib Mahfouz/Frances Liardet,3.82,eng,167,411,38,1/1/1994,Anchor Books,1994,20th,small
1597,Midaq Alley,Naguib Mahfouz/Trevor Le Gassick,3.85,eng,286,4815,446,12/1/1991,Anchor Books,1991,20th,small
1598,The Harafish,Naguib Mahfouz/Catherine Cobham/Naguib Mahfouz,4.36,eng,416,590,61,9/17/1997,Anchor Books,1997,20th,big
1599,The Day the Leader Was Killed,Naguib Mahfouz/Surgana/Naguib Mahfouz,3.63,eng,112,809,93,6/6/2000,Anchor,2000,21th,small
1600,Anne Frank Beyond the Diary: A Photographic Remembrance,Ruud van der Rol/Rian Verhoeven/Anna Quindlen/Anne Frank/Tony   Langham/Plym Peters,4.27,eng,113,24181,242,5/1/1995,Puffin Books,1995,20th,small
1601,Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family,Miep Gies/Alison Leslie Gold,4.29,eng,252,55487,669,4/15/1988,Touchstone Books,1988,20th,small
1602,The Diary of Anne Frank,Frances Goodrich/Albert Hackett/Wendy Kesselman,4.06,eng,70,1320,61,10/1/1998,Dramatists Play Service,1998,20th,small
1603,Anne Frank: Life in Hiding,Johanna Hurwitz/Vera Rosenberry,3.99,eng,64,152,23,12/8/1999,HarperCollins,1999,20th,small
1604,Cliffs Notes on Hansberry's A Raisin in the Sun,Rosetta James,3.9,eng,80,10,2,8/15/1992,Cliffs Notes,1992,20th,small
